archivo,linea,texto_original,traduccion_sugerida
src/app/features/room/message/Message.tsx,*,Pin Message,Fijar mensaje
src/app/features/room/message/Message.tsx,*,Delete Message,Eliminar mensaje
src/app/features/room/message/Message.tsx,*,This action is irreversible! Are you sure that you want to delete this message?,¡Esta acción es irreversible! ¿Seguro que quieres eliminar este mensaje?
src/app/features/room/message/Message.tsx,*,Reason,Motivo
src/app/features/room/message/Message.tsx,*,(optional),(opcional)
src/app/features/room/message/Message.tsx,*,Failed to delete message! Please try again.,No se pudo eliminar el mensaje. Inténtalo de nuevo.
src/app/features/room/message/Message.tsx,*,Deleting...,Eliminando...
src/app/features/room/message/Message.tsx,*,Delete,Eliminar
src/app/features/room/message/Message.tsx,*,Report Message,Reportar mensaje
src/app/features/room/message/Message.tsx,*,Report this message to server which may then notify the appropriate people to take action.,Reportar este mensaje al servidor para que se tomen las medidas correspondientes.
src/app/features/room/message/Message.tsx,*,Failed to report message! Please try again.,No se pudo reportar el mensaje. Inténtalo de nuevo.
src/app/features/room/message/Message.tsx,*,Message has been reported to server.,El mensaje fue reportado al servidor.
src/app/features/room/message/Message.tsx,*,Reporting...,Reportando...
src/app/features/room/message/Message.tsx,*,Report,Reportar
src/app/features/room/message/Message.tsx,*,Add Reaction,Agregar reacción
src/app/features/room/message/Message.tsx,*,Reply,Responder
src/app/features/room/message/Message.tsx,*,Reply in Thread,Responder en hilo
src/app/features/room/message/Message.tsx,*,Edit Message,Editar mensaje
src/app/features/room/RoomTombstone.tsx,*,This room has been replaced and is no longer active.,Esta sala fue reemplazada y ya no está activa.
src/app/features/room/RoomTombstone.tsx,*,Failed to join replacement room!,No se pudo unir a la sala de reemplazo.
src/app/features/room/RoomTombstone.tsx,*,Open New Room,Abrir sala nueva
src/app/features/room/RoomTombstone.tsx,*,Join New Room,Unirse a la sala nueva
src/app/features/room/room-pin-menu/RoomPinMenu.tsx,*,Open,Abrir
src/app/features/room/room-pin-menu/RoomPinMenu.tsx,*,Failed to load message!,No se pudo cargar el mensaje.
src/app/features/room/room-pin-menu/RoomPinMenu.tsx,*,Pinned Messages,Mensajes fijados
src/app/features/room/room-pin-menu/RoomPinMenu.tsx,*,No Pinned Messages,Sin mensajes fijados
src/app/features/room/room-pin-menu/RoomPinMenu.tsx,*,Users with sufficient power level can pin a messages from its context menu.,Los usuarios con el nivel de permisos suficiente pueden fijar mensajes desde el menú contextual.
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Jump to Time,Ir a fecha/hora
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Time,Hora
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Date,Fecha
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Preset,Acceso rápido
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Today,Hoy
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Yesterday,Ayer
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Beginning,Inicio
src/app/features/room/jump-to-time/JumpToTime.tsx,*,Open Timeline,Abrir cronología
src/app/features/room/reaction-viewer/ReactionViewer.tsx,*,Reacted with :${selectedShortcode}:,Reaccionaron con :${selectedShortcode}:
src/app/features/lobby/LobbyHeader.tsx,*,Invite,Invitar
src/app/features/lobby/LobbyHeader.tsx,*,Space Settings,Configuración del espacio
src/app/features/lobby/LobbyHeader.tsx,*,Leave Space,Salir del espacio
src/app/features/lobby/LobbyHeader.tsx,*,Members,Miembros
src/app/features/lobby/LobbyHeader.tsx,*,More Options,Más opciones
src/app/features/lobby/HierarchyItemMenu.tsx,*,Unset Suggested,Quitar sugerencia
src/app/features/lobby/HierarchyItemMenu.tsx,*,Set Suggested,Marcar como sugerida
src/app/features/lobby/HierarchyItemMenu.tsx,*,Remove,Eliminar
src/app/features/lobby/HierarchyItemMenu.tsx,*,Invite,Invitar
src/app/features/lobby/HierarchyItemMenu.tsx,*,Settings,Configuración
src/app/features/lobby/HierarchyItemMenu.tsx,*,Leave,Salir
src/app/features/lobby/HierarchyItemMenu.tsx,*,Unpin from Sidebar,Desanclar de la barra lateral
src/app/features/lobby/HierarchyItemMenu.tsx,*,Pin to Sidebar,Anclar en la barra lateral
src/app/features/settings/Settings.tsx,*,General,General
src/app/features/settings/Settings.tsx,*,Account,Cuenta
src/app/features/settings/Settings.tsx,*,Notifications,Notificaciones
src/app/features/settings/Settings.tsx,*,About,Acerca de
src/app/features/settings/Settings.tsx,*,Settings,Configuración
src/app/features/settings/Settings.tsx,*,Logout,Cerrar sesión
src/app/features/settings/general/General.tsx,*,Appearance,Apariencia
src/app/features/settings/general/General.tsx,*,System Theme,Tema del sistema
src/app/features/settings/general/General.tsx,*,Choose between light and dark theme based on system preference.,Elige entre tema claro u oscuro según la preferencia del sistema.
src/app/features/settings/general/General.tsx,*,Light Theme:,Tema claro:
src/app/features/settings/general/General.tsx,*,Dark Theme:,Tema oscuro:
src/app/features/settings/general/General.tsx,*,Theme,Tema
src/app/features/settings/general/General.tsx,*,Monochrome Mode,Modo monocromático
src/app/features/settings/general/General.tsx,*,Twitter Emoji,Emoji de Twitter
src/app/features/settings/general/General.tsx,*,Page Zoom,Zoom de la página
src/app/features/settings/general/General.tsx,*,Date & Time,Fecha y hora
src/app/features/settings/general/General.tsx,*,24-Hour Time Format,Formato de 24 horas
src/app/features/settings/general/General.tsx,*,Date Format,Formato de fecha
src/app/features/settings/general/General.tsx,*,Save,Guardar
src/app/features/settings/general/General.tsx,*,Editor,Editor
src/app/features/settings/general/General.tsx,*,ENTER for Newline,ENTER para nueva línea
src/app/features/settings/general/General.tsx,*,Markdown Formatting,Formato Markdown
src/app/features/settings/general/General.tsx,*,Hide Typing & Read Receipts,Ocultar estado de escritura y confirmaciones de lectura
src/app/features/settings/general/General.tsx,*,Turn off both typing status and read receipts to keep your activity private.,Desactiva el estado de escritura y las confirmaciones de lectura para mantener tu actividad privada.
src/app/features/settings/general/General.tsx,*,Messages,Mensajes
src/app/features/settings/general/General.tsx,*,Message Layout,Diseño de mensajes
src/app/features/settings/general/General.tsx,*,Message Spacing,Espaciado de mensajes
src/app/features/settings/general/General.tsx,*,Hide Profile Change,Ocultar cambios de perfil
src/app/features/settings/general/General.tsx,*,Disable Media Auto Load,Desactivar carga automática de medios
src/app/features/settings/general/General.tsx,*,Url Preview,Vista previa de enlaces
src/app/features/settings/general/General.tsx,*,General,General
src/app/features/settings/account/Profile.tsx,*,Avatar,Avatar
src/app/features/settings/account/Profile.tsx,*,Upload,Subir
src/app/features/settings/account/Profile.tsx,*,Remove,Eliminar
src/app/features/settings/account/Profile.tsx,*,Remove Avatar,Eliminar avatar
src/app/features/settings/account/Profile.tsx,*,Are you sure you want to remove profile avatar?,¿Seguro que quieres eliminar el avatar de perfil?
src/app/features/settings/account/Profile.tsx,*,Display Name,Nombre para mostrar
src/app/features/settings/account/Profile.tsx,*,Save,Guardar
src/app/features/settings/account/Profile.tsx,*,Profile,Perfil
src/app/features/settings/account/ContactInfo.tsx,*,Contact Information,Información de contacto
src/app/features/settings/account/ContactInfo.tsx,*,Email Address,Correo electrónico
src/app/features/settings/account/ContactInfo.tsx,*,Email address attached to your account.,Correo electrónico vinculado a tu cuenta.
src/app/features/settings/notifications/Notifications.tsx,*,Notifications,Notificaciones
src/app/features/settings/notifications/SystemNotification.tsx,*,System,Sistema
src/app/features/settings/notifications/SystemNotification.tsx,*,Desktop Notifications,Notificaciones de escritorio
src/app/features/settings/notifications/SystemNotification.tsx,*,Notification permission is blocked. Please allow notification permission from browser address bar.,El permiso de notificaciones está bloqueado. Habilítalo desde la barra de direcciones del navegador.
src/app/features/settings/notifications/SystemNotification.tsx,*,Notifications are not supported by the system.,Las notificaciones no son compatibles con este sistema.
src/app/features/settings/notifications/SystemNotification.tsx,*,Show desktop notifications when message arrive.,Mostrar notificaciones de escritorio al recibir mensajes.
src/app/features/settings/notifications/SystemNotification.tsx,*,Enable,Activar
src/app/features/settings/notifications/SystemNotification.tsx,*,Notification Sound,Sonido de notificación
src/app/features/settings/notifications/SystemNotification.tsx,*,Play sound when new message arrive.,Reproducir sonido al recibir mensajes nuevos.
src/app/features/settings/notifications/AllMessages.tsx,*,All Messages,Todos los mensajes
src/app/features/settings/notifications/AllMessages.tsx,*,Badge: ,Insignia:
src/app/features/settings/notifications/AllMessages.tsx,*,1-to-1 Chats,Chats individuales
src/app/features/settings/notifications/AllMessages.tsx,*,Rooms,Salas
src/app/features/settings/notifications/SpecialMessages.tsx,*,Special Messages,Mensajes especiales
src/app/features/settings/notifications/SpecialMessages.tsx,*,Badge: ,Insignia:
src/app/features/settings/notifications/SpecialMessages.tsx,*,Mention User ID ("${userId}"),Mencionar ID de usuario ("${userId}")
src/app/features/settings/notifications/SpecialMessages.tsx,*,Contains Displayname ${displayName},Contiene nombre para mostrar ${displayName}
src/app/features/settings/notifications/SpecialMessages.tsx,*,Contains Username ("${getMxIdLocalPart(userId)}"),Contiene nombre de usuario ("${getMxIdLocalPart(userId)}")
src/app/features/settings/notifications/SpecialMessages.tsx,*,Mention @room,Mención @room
src/app/features/settings/notifications/SpecialMessages.tsx,*,Contains @room,Contiene @room
src/app/features/settings/notifications/KeywordMessages.tsx,*,Keyword Messages,Mensajes por palabra clave
src/app/features/settings/notifications/KeywordMessages.tsx,*,Badge: ,Insignia:
src/app/features/settings/notifications/KeywordMessages.tsx,*,Select Keyword,Seleccionar palabra clave
src/app/features/settings/notifications/KeywordMessages.tsx,*,Set a notification preference for message containing given keyword.,Configura una preferencia de notificación para mensajes que contengan la palabra clave.
src/app/features/settings/notifications/KeywordMessages.tsx,*,Save,Guardar
src/app/features/settings/about/About.tsx,*,About,Acerca de
src/app/features/settings/about/About.tsx,*,Dulce Terciopelo logo,Logo de Dulce Terciopelo
src/app/features/settings/about/About.tsx,*,Options,Opciones
src/app/features/settings/about/About.tsx,*,Clear Cache & Reload,Limpiar caché y recargar
src/app/features/settings/about/About.tsx,*,Clear all your locally stored data and reload from server.,Elimina todos los datos almacenados localmente y recarga desde el servidor.
src/app/features/settings/about/About.tsx,*,Clear Cache,Limpiar caché
src/app/features/settings/about/About.tsx,*,Credits,Créditos
src/app/features/room-settings/RoomSettings.tsx,*,General,General
src/app/features/room-settings/RoomSettings.tsx,*,Members,Miembros
src/app/features/room-settings/RoomSettings.tsx,*,Permissions,Permisos
src/app/features/room-settings/RoomSettings.tsx,*,Emojis & Stickers,Emojis y stickers
src/app/features/room-settings/RoomSettings.tsx,*,Developer Tools,Herramientas de desarrollador
src/app/features/room-settings/general/General.tsx,*,General,General
src/app/features/room-settings/general/General.tsx,*,Options,Opciones
src/app/features/room-settings/general/General.tsx,*,Addresses,Direcciones
src/app/features/room-settings/general/General.tsx,*,Advanced Options,Opciones avanzadas
src/app/features/common-settings/general/RoomProfile.tsx,*,Avatar,Avatar
src/app/features/common-settings/general/RoomProfile.tsx,*,Upload,Subir
src/app/features/common-settings/general/RoomProfile.tsx,*,Reset,Restablecer
src/app/features/common-settings/general/RoomProfile.tsx,*,Remove,Eliminar
src/app/features/common-settings/general/RoomProfile.tsx,*,Name,Nombre
src/app/features/common-settings/general/RoomProfile.tsx,*,Topic,Tema
src/app/features/common-settings/general/RoomProfile.tsx,*,Save,Guardar
src/app/features/common-settings/general/RoomProfile.tsx,*,Cancel,Cancelar
src/app/features/common-settings/general/RoomProfile.tsx,*,Edit,Editar
src/app/features/common-settings/general/RoomProfile.tsx,*,Profile,Perfil
src/app/features/common-settings/general/RoomJoinRules.tsx,*,Space Access,Acceso al espacio
src/app/features/common-settings/general/RoomJoinRules.tsx,*,Room Access,Acceso a la sala
src/app/features/common-settings/general/RoomJoinRules.tsx,*,Change how people can join the space.,Cambia cómo las personas pueden unirse al espacio.
src/app/features/common-settings/general/RoomJoinRules.tsx,*,Change how people can join the room.,Cambia cómo las personas pueden unirse a la sala.
src/app/features/common-settings/general/RoomHistoryVisibility.tsx,*,Message History Visibility,Visibilidad del historial de mensajes
src/app/features/common-settings/general/RoomHistoryVisibility.tsx,*,Changes to history visibility will only apply to future messages. The visibility of existing history will have no effect.,Los cambios en la visibilidad del historial solo se aplicarán a mensajes futuros.
src/app/features/common-settings/general/RoomHistoryVisibility.tsx,*,After Invite,Desde la invitación
src/app/features/common-settings/general/RoomHistoryVisibility.tsx,*,After Join,Desde que se unió
src/app/features/common-settings/general/RoomHistoryVisibility.tsx,*,All Messages,Todos los mensajes
src/app/features/common-settings/general/RoomHistoryVisibility.tsx,*,All Messages (Guests),Todos los mensajes (invitados)
src/app/features/common-settings/general/RoomEncryption.tsx,*,Room Encryption,Cifrado de sala
src/app/features/common-settings/general/RoomEncryption.tsx,*,Messages in this room are protected by end-to-end encryption.,Los mensajes de esta sala están protegidos con cifrado de extremo a extremo.
src/app/features/common-settings/general/RoomEncryption.tsx,*,Once enabled encryption cannot be disabled!,¡Una vez activado el cifrado no se puede desactivar!
src/app/features/common-settings/general/RoomEncryption.tsx,*,Enabled,Activado
src/app/features/common-settings/general/RoomEncryption.tsx,*,Enable,Activar
src/app/features/common-settings/general/RoomEncryption.tsx,*,Enable Encryption,Activar cifrado
src/app/features/common-settings/general/RoomEncryption.tsx,*,Are you sure? Once enabled encryption cannot be disabled!,¿Seguro? Una vez activado el cifrado no se puede desactivar.
src/app/features/common-settings/general/RoomEncryption.tsx,*,Enable E2E Encryption,Activar cifrado E2E
src/app/features/common-settings/general/RoomPublish.tsx,*,Publish to Directory,Publicar en el directorio
src/app/features/common-settings/general/RoomPublish.tsx,*,List the space in the public directory to make it discoverable by others.,Lista el espacio en el directorio público para que otros puedan encontrarlo.
src/app/features/common-settings/general/RoomPublish.tsx,*,List the room in the public directory to make it discoverable by others.,Lista la sala en el directorio público para que otros puedan encontrarla.
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Space Upgrade,Actualizar espacio
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Room Upgrade,Actualizar sala
src/app/features/common-settings/general/RoomUpgrade.tsx,*,This action is irreversible!,¡Esta acción es irreversible!
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Options,Opciones
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Upgrade Space,Actualizar espacio
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Upgrade Room,Actualizar sala
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Old Space,Espacio anterior
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Old Room,Sala anterior
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Open New Space,Abrir espacio nuevo
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Open New Room,Abrir sala nueva
src/app/features/common-settings/general/RoomUpgrade.tsx,*,Upgrade,Actualizar
src/app/features/common-settings/general/RoomAddress.tsx,*,Published Addresses,Direcciones publicadas
src/app/features/common-settings/general/RoomAddress.tsx,*,If access is Public Published addresses will be used to join by anyone.,Si el acceso es Público las direcciones publicadas podrán usarlas todos para unirse.
src/app/features/common-settings/general/RoomAddress.tsx,*,No Addresses,Sin direcciones
src/app/features/common-settings/general/RoomAddress.tsx,*,To publish an address it needs to be set as a local address first,Para publicar una dirección primero debe configurarse como dirección local.
src/app/features/common-settings/general/RoomAddress.tsx,*,Main,Principal
src/app/features/common-settings/general/RoomAddress.tsx,*,Unset Main,Quitar principal
src/app/features/common-settings/general/RoomAddress.tsx,*,Set Main,Marcar como principal
src/app/features/common-settings/general/RoomAddress.tsx,*,Unpublish,Despublicar
src/app/features/common-settings/general/RoomAddress.tsx,*,Publish,Publicar
src/app/features/common-settings/general/RoomAddress.tsx,*,Delete,Eliminar
src/app/features/common-settings/general/RoomAddress.tsx,*,Published,Publicada
src/app/features/common-settings/general/RoomAddress.tsx,*,Local Addresses,Direcciones locales
src/app/features/common-settings/general/RoomAddress.tsx,*,Set local address so users can join through your homeserver.,Configura una dirección local para que los usuarios se unan a través de tu servidor.
src/app/features/common-settings/general/RoomAddress.tsx,*,Collapse,Contraer
src/app/features/common-settings/general/RoomAddress.tsx,*,Expand,Expandir
src/app/features/common-settings/general/RoomAddress.tsx,*,Loading...,Cargando...
src/app/features/common-settings/general/RoomAddress.tsx,*,Address is already in use!,¡Esta dirección ya está en uso!
src/app/features/common-settings/general/RoomAddress.tsx,*,Save,Guardar
src/app/features/common-settings/members/Members.tsx,*,${room.getJoinedMemberCount()} Members,${room.getJoinedMemberCount()} miembros
src/app/features/common-settings/members/Members.tsx,*,Search,Buscar
src/app/features/common-settings/members/Members.tsx,*,No Results,Sin resultados
src/app/features/common-settings/members/Members.tsx,*,${result.items.length} Results,${result.items.length} resultados
src/app/features/common-settings/members/Members.tsx,*,Scroll to Top,Ir al inicio
src/app/features/common-settings/members/Members.tsx,*,No "${membershipFilter.name}" Members,Sin miembros de tipo "${membershipFilter.name}"
src/app/features/common-settings/permissions/PermissionGroups.tsx,*,Users,Usuarios
src/app/features/common-settings/permissions/PermissionGroups.tsx,*,Default Power,Poder predeterminado
src/app/features/common-settings/permissions/PermissionGroups.tsx,*,Default power level for all users.,Nivel de poder predeterminado para todos los usuarios.
src/app/features/common-settings/permissions/PermissionGroups.tsx,*,Failed to apply changes! Please try again.,No se pudieron aplicar los cambios. Inténtalo de nuevo.
src/app/features/common-settings/permissions/PermissionGroups.tsx,*,Changes saved! Apply when ready.,¡Cambios guardados! Aplica cuando estés listo.
src/app/features/common-settings/permissions/PermissionGroups.tsx,*,Reset,Restablecer
src/app/features/common-settings/permissions/PermissionGroups.tsx,*,Apply Changes,Aplicar cambios
src/app/features/common-settings/permissions/Powers.tsx,*,Founders,Fundadores
src/app/features/common-settings/permissions/Powers.tsx,*,Founding members has all permissions and can only be changed during upgrade.,Los miembros fundadores tienen todos los permisos y solo pueden modificarse al actualizar.
src/app/features/common-settings/permissions/Powers.tsx,*,Power Levels,Niveles de poder
src/app/features/common-settings/permissions/Powers.tsx,*,Manage and customize incremental power levels for users.,Administra y personaliza los niveles de poder incrementales para los usuarios.
src/app/features/common-settings/permissions/Powers.tsx,*,Edit,Editar
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Permissions,Permisos
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Power Levels,Niveles de poder
src/app/features/common-settings/permissions/PowersEditor.tsx,*,New Power Level,Nuevo nivel de poder
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Create a new power level.,Crear un nuevo nivel de poder.
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Create,Crear
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Color,Color
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Name,Nombre
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Power,Poder
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Icon,Ícono
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Pick,Elegir
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Import,Importar
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Remove,Eliminar
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Save,Guardar
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Cancel,Cancelar
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Used Power Level,Nivel de poder en uso
src/app/features/common-settings/permissions/PowersEditor.tsx,*,You have to remove its use before you can delete it.,Debes eliminar su uso antes de poder borrarlo.
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Delete,Eliminar
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Undo,Deshacer
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Edit,Editar
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Failed to apply changes! Please try again.,No se pudieron aplicar los cambios. Inténtalo de nuevo.
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Changes saved! Apply when ready.,¡Cambios guardados! Aplica cuando estés listo.
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Reset,Restablecer
src/app/features/common-settings/permissions/PowersEditor.tsx,*,Apply Changes,Aplicar cambios
src/app/features/common-settings/emojis-stickers/EmojisStickers.tsx,*,Emojis & Stickers,Emojis y stickers
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,New Pack,Pack nuevo
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Add your own emoji and sticker pack to use in room.,Agrega tu propio pack de emojis y stickers para usar en la sala.
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Name,Nombre
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Create,Crear
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,View,Ver
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Packs,Packs
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,No Packs,Sin packs
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,There are no emoji or sticker packs to display at the moment.,No hay packs de emojis o stickers para mostrar en este momento.
src/app/features/common-settings/emojis-stickers/RoomPacks.tsx,*,Failed to remove packs! Please try again.,No se pudieron eliminar los packs. Inténtalo de nuevo.
